0	0	1	2014	2014
2	1	3	2014	2014
4	2	5	2014	2014
6	3	7	2014	2014
8	4	9	2014	2014
10	5	2	2014	2014
11	6	12	2014	2014
13	3	14	2014	2014
15	7	16	2014	2014
17	8	18	2014	2014
0	9	19	2014	2014
20	8	21	2014	2014
22	10	23	2014	2014
24	5	25	2014	2014
26	1	27	2014	2014
28	9	29	2014	2014
30	8	3	2014	2014
31	5	32	2014	2014
33	8	34	2014	2014
35	11	36	2014	2014
22	9	37	2014	2014
38	0	13	2014	2014
39	8	2	2014	2014
40	10	13	2014	2014
41	8	42	2014	2014
43	12	9	2014	2014
44	2	45	2014	2014
31	13	46	2014	2014
47	14	48	2014	2014
49	5	50	2014	2014
51	8	3	2014	2014
52	15	53	2014	2014
54	8	2	2014	2014
0	16	1	2014	2014
55	8	56	2014	2014
57	2	58	2014	2014
59	16	25	2014	2014
60	17	61	2014	2014
62	18	63	2014	2014
64	1	65	2014	2014
66	5	67	2014	2014
68	8	69	2014	2014
70	8	71	2014	2014
72	8	73	2014	2014
74	19	75	2014	2014
76	0	77	2014	2014
24	9	78	2014	2014
2	18	79	2014	2014
80	2	81	2014	2014
82	14	83	2014	2014
84	2	51	2014	2014
85	8	18	2014	2014
86	2	87	2014	2014
88	8	89	2014	2014
90	2	4	2014	2014
91	16	92	2014	2014
93	8	94	2014	2014
95	7	24	2014	2014
96	3	13	2014	2014
97	14	2	2014	2014
98	20	57	2014	2014
99	21	100	2014	2014
65	2	101	2014	2014
62	18	102	2014	2014
103	8	104	2014	2014
105	18	106	2014	2014
107	8	108	2014	2014
109	22	110	2014	2014
111	13	112	2014	2014
4	2	64	2014	2014
113	0	114	2014	2014
65	3	115	2014	2014
116	8	104	2014	2014
117	23	118	2014	2014
119	8	3	2014	2014
7	8	120	2014	2014
121	2	122	2014	2014
123	7	124	2014	2014
66	23	3	2014	2014
125	8	126	2014	2014
127	1	128	2014	2014
2	5	54	2014	2014
13	0	104	2014	2014
129	8	130	2014	2014
131	8	132	2014	2014
133	24	134	2014	2014
135	9	136	2014	2014
137	8	138	2014	2014
46	18	139	2014	2014
13	3	104	2014	2014
140	1	141	2014	2014
142	25	112	2014	2014
143	26	54	2014	2014
144	27	145	2014	2014
146	5	147	2014	2014
148	8	149	2014	2014
150	8	151	2014	2014
152	8	3	2014	2014
153	0	154	2014	2014
2	28	54	2014	2014
155	8	2	2014	2014
65	3	156	2014	2014
157	14	158	2014	2014
159	29	160	2014	2014
161	23	112	2014	2014
162	22	163	2014	2014
164	2	165	2014	2014
65	30	64	2014	2014
166	1	2	2014	2014
167	14	168	2014	2014
169	0	170	2014	2014
3	31	66	2014	2014
171	2	172	2014	2014
65	8	3	2014	2014
